age,job,marital,education,default_credit,housing,loan,contact_target,month,day_of_week,dt_year,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,target_decision
34,services,married,high-school,no,no,no,telephone,may,mon,2022,365,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,technician,married,basic-9y,no,yes,no,telephone,may,mon,2022,1666,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,admin,married,university-degree,no,yes,no,telephone,may,mon,2022,577,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,technician,married,basic-4y,no,yes,no,telephone,may,mon,2022,137,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,entrepreneur,married,high-school,no,yes,no,telephone,may,mon,2022,314,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,admin,single,professional-course,no,no,no,telephone,may,mon,2022,160,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,admin,married,university-degree,no,no,yes,telephone,may,mon,2022,212,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,admin,married,university-degree,no,yes,yes,telephone,may,mon,2022,616,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,married,basic-9y,no,no,yes,telephone,may,mon,2022,178,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin,married,university-degree,no,yes,no,telephone,may,mon,2022,355,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,basic-9y,no,yes,no,telephone,may,mon,2022,225,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,admin,married,high-school,no,no,no,telephone,may,mon,2022,160,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,housemaid,married,basic-4y,no,no,yes,telephone,may,mon,2022,266,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
60,admin,married,high-school,no,no,no,telephone,may,mon,2022,253,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,admin,single,professional-course,no,no,no,telephone,may,mon,2022,179,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,technician,single,university-degree,no,yes,no,telephone,may,mon,2022,174,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,basic-9y,no,yes,no,telephone,may,mon,2022,812,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
48,admin,married,high-school,no,no,no,telephone,may,mon,2022,357,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,admin,married,university-degree,no,no,no,telephone,may,mon,2022,232,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,single,basic-9y,no,yes,no,telephone,may,mon,2022,91,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,admin,married,basic-9y,no,yes,no,telephone,may,mon,2022,158,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,management,married,basic-6y,no,no,no,telephone,may,mon,2022,200,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,management,divorced,university-degree,no,yes,no,telephone,may,mon,2022,172,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,technician,married,university-degree,no,no,no,telephone,may,mon,2022,349,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,technician,single,university-degree,no,no,yes,telephone,may,mon,2022,20,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,admin,divorced,high-school,no,no,no,telephone,may,mon,2022,246,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,management,married,basic-6y,no,no,no,telephone,may,mon,2022,529,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,admin,married,university-degree,no,yes,yes,telephone,may,mon,2022,192,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,technician,married,basic-9y,no,no,no,telephone,may,mon,2022,1467,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
34,admin,married,high-school,no,yes,no,telephone,may,mon,2022,188,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin,married,university-degree,no,yes,no,telephone,may,mon,2022,180,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,unemployed,married,basic-9y,no,no,no,telephone,may,mon,2022,545,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic-6y,no,no,yes,telephone,may,mon,2022,583,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,services,married,professional-course,no,yes,no,telephone,may,mon,2022,221,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,management,married,university-degree,no,no,no,telephone,may,mon,2022,426,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,technician,single,professional-course,no,no,no,telephone,may,mon,2022,197,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,married,basic-6y,no,no,no,telephone,may,mon,2022,257,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,married,basic-4y,no,no,no,telephone,may,mon,2022,55,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,admin,divorced,university-degree,no,no,no,telephone,may,mon,2022,197,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,admin,divorced,university-degree,no,no,no,telephone,may,mon,2022,190,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,housemaid,married,basic-6y,no,yes,no,telephone,may,mon,2022,300,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin,married,high-school,no,yes,no,telephone,may,mon,2022,123,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,services,divorced,high-school,no,yes,no,telephone,may,mon,2022,194,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,management,married,university-degree,no,no,no,telephone,may,mon,2022,337,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,high-school,no,no,no,telephone,may,mon,2022,286,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,admin,divorced,university-degree,no,no,no,telephone,may,mon,2022,247,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,divorced,high-school,no,no,no,telephone,may,mon,2022,439,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,services,married,high-school,no,no,no,telephone,may,mon,2022,139,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,technician,married,high-school,no,yes,no,telephone,may,mon,2022,79,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,admin,married,university-degree,no,yes,yes,telephone,may,mon,2022,175,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,admin,married,university-degree,no,no,yes,telephone,may,mon,2022,262,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,admin,married,basic-6y,no,no,no,telephone,may,mon,2022,61,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,technician,divorced,professional-course,no,yes,yes,telephone,may,mon,2022,78,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,retired,married,basic-4y,no,yes,no,telephone,may,mon,2022,102,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,basic-6y,no,yes,yes,telephone,may,mon,2022,143,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,basic-6y,no,yes,no,telephone,may,mon,2022,345,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,management,married,university-degree,no,no,no,telephone,may,mon,2022,185,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,management,divorced,university-degree,no,no,no,telephone,may,mon,2022,207,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,services,married,high-school,no,yes,no,telephone,may,mon,2022,125,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,unemployed,single,university-degree,no,yes,no,telephone,may,mon,2022,240,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,management,married,university-degree,no,yes,no,telephone,may,mon,2022,193,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,blue-collar,married,basic-4y,no,yes,no,telephone,may,mon,2022,136,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin,single,high-school,no,yes,no,telephone,may,mon,2022,338,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,basic-4y,no,yes,no,telephone,may,mon,2022,87,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,basic-9y,no,yes,yes,telephone,may,mon,2022,98,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,technician,single,professional-course,no,yes,no,telephone,may,mon,2022,186,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,services,married,high-school,no,no,no,telephone,may,mon,2022,579,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
24,management,single,university-degree,no,yes,no,telephone,may,mon,2022,165,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,entrepreneur,married,basic-6y,no,no,no,telephone,may,mon,2022,85,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,services,married,high-school,no,yes,yes,telephone,may,mon,2022,506,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,management,divorced,university-degree,no,yes,no,telephone,may,mon,2022,843,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,technician,married,university-degree,no,yes,yes,telephone,may,mon,2022,292,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,services,married,high-school,no,no,no,telephone,may,mon,2022,93,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
46,management,married,basic-9y,no,no,no,telephone,may,mon,2022,128,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,services,married,high-school,no,yes,yes,telephone,may,mon,2022,107,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,admin,single,basic-6y,no,no,no,telephone,may,mon,2022,303,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
28,services,married,high-school,no,yes,no,telephone,may,mon,2022,81,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,basic-9y,no,no,no,telephone,may,mon,2022,270,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,technician,married,high-school,no,no,no,telephone,may,mon,2022,228,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic-9y,no,yes,yes,telephone,may,mon,2022,673,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
36,admin,married,university-degree,no,yes,no,telephone,may,mon,2022,233,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,management,married,university-degree,no,no,no,telephone,may,mon,2022,461,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,admin,married,university-degree,no,yes,no,telephone,may,mon,2022,138,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,technician,married,professional-course,no,no,no,telephone,may,mon,2022,412,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,blue-collar,single,basic-9y,no,yes,no,telephone,may,mon,2022,179,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,management,divorced,university-degree,no,no,no,telephone,may,mon,2022,19,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,technician,married,university-degree,no,no,no,telephone,may,mon,2022,228,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
48,blue-collar,married,basic-4y,no,yes,no,telephone,may,mon,2022,717,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,blue-collar,married,basic-6y,no,yes,no,telephone,may,mon,2022,1077,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,services,married,high-school,no,no,no,telephone,may,mon,2022,146,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,services,single,basic-6y,no,no,no,telephone,may,mon,2022,167,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,blue-collar,married,high-school,no,yes,no,telephone,may,mon,2022,356,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,married,basic-9y,no,yes,no,telephone,may,mon,2022,172,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,unemployed,married,professional-course,no,no,no,telephone,may,mon,2022,67,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,services,single,basic-4y,no,no,no,telephone,may,mon,2022,291,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,student,single,basic-9y,no,yes,no,telephone,may,mon,2022,256,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,housemaid,divorced,university-degree,no,no,no,telephone,may,mon,2022,286,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,admin,married,university-degree,no,no,no,telephone,may,mon,2022,477,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,services,married,high-school,no,no,no,telephone,may,mon,2022,322,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin,married,high-school,no,yes,no,telephone,may,mon,2022,216,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,technician,married,basic-9y,no,no,no,telephone,may,mon,2022,168,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
58,retired,married,university-degree,no,no,no,telephone,may,mon,2022,132,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,technician,married,university-degree,no,no,no,telephone,may,mon,2022,64,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin,single,university-degree,no,no,no,telephone,may,mon,2022,209,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,basic-4y,no,yes,yes,telephone,may,mon,2022,177,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,admin,married,professional-course,no,yes,no,telephone,may,mon,2022,580,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,services,divorced,professional-course,no,yes,no,telephone,may,mon,2022,165,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,admin,married,professional-course,no,yes,no,telephone,may,mon,2022,300,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,blue-collar,married,basic-4y,no,no,no,telephone,may,mon,2022,136,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
48,admin,married,high-school,no,no,no,telephone,may,mon,2022,125,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,retired,married,high-school,no,no,no,telephone,may,mon,2022,238,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,technician,single,professional-course,no,no,no,telephone,may,mon,2022,124,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,management,married,university-degree,no,yes,no,telephone,may,mon,2022,18,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,services,single,basic-9y,no,no,no,telephone,may,mon,2022,730,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,technician,single,professional-course,no,no,no,telephone,may,mon,2022,79,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,technician,single,high-school,no,yes,no,telephone,may,mon,2022,142,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,single,high-school,no,no,yes,telephone,may,mon,2022,389,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,services,single,high-school,no,no,no,telephone,may,mon,2022,702,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,technician,divorced,professional-course,no,no,no,telephone,may,mon,2022,151,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,married,basic-4y,no,yes,no,telephone,may,mon,2022,211,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,services,married,basic-6y,no,yes,no,telephone,may,mon,2022,117,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,technician,married,professional-course,no,yes,no,telephone,may,mon,2022,232,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,services,married,high-school,no,yes,yes,telephone,may,mon,2022,370,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,management,married,basic-9y,no,no,yes,telephone,may,mon,2022,46,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,admin,married,high-school,no,no,yes,telephone,may,mon,2022,50,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,admin,married,high-school,no,no,yes,telephone,may,mon,2022,181,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,technician,married,high-school,no,no,no,telephone,may,mon,2022,361,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,admin,divorced,basic-9y,no,no,no,telephone,may,mon,2022,73,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,admin,married,university-degree,no,no,no,telephone,may,mon,2022,67,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,blue-collar,single,basic-6y,no,no,no,telephone,may,mon,2022,350,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,self-employed,single,university-degree,no,yes,no,telephone,may,mon,2022,150,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,management,divorced,university-degree,no,no,no,telephone,may,mon,2022,611,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,management,divorced,university-degree,no,no,no,telephone,may,mon,2022,89,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,admin,single,high-school,no,no,no,telephone,may,mon,2022,611,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,services,married,high-school,no,no,no,telephone,may,mon,2022,962,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,technician,single,basic-9y,no,no,no,telephone,may,mon,2022,10,4,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,retired,married,professional-course,no,no,no,telephone,may,mon,2022,118,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,blue-collar,married,basic-6y,no,no,no,telephone,may,mon,2022,92,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,technician,married,basic-4y,no,yes,no,telephone,may,mon,2022,143,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,admin,married,basic-9y,no,no,no,telephone,may,mon,2022,189,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,basic-9y,no,yes,no,telephone,may,mon,2022,75,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,divorced,basic-9y,no,yes,no,telephone,may,mon,2022,189,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,divorced,basic-6y,no,no,no,telephone,may,mon,2022,55,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,housemaid,married,basic-9y,no,yes,no,telephone,may,mon,2022,935,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
37,admin,single,high-school,no,yes,yes,telephone,may,mon,2022,56,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,services,married,high-school,no,no,no,telephone,may,mon,2022,225,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,management,divorced,university-degree,no,yes,no,telephone,may,mon,2022,125,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,admin,married,high-school,no,yes,yes,telephone,may,mon,2022,286,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,basic-4y,no,yes,no,telephone,may,mon,2022,164,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,technician,single,professional-course,no,yes,no,telephone,may,mon,2022,98,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,self-employed,married,professional-course,no,no,no,telephone,may,mon,2022,446,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,divorced,high-school,no,no,yes,telephone,may,mon,2022,742,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,admin,married,university-degree,no,yes,no,telephone,may,mon,2022,120,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,services,divorced,high-school,no,no,no,telephone,may,mon,2022,122,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,admin,married,high-school,no,yes,no,telephone,may,mon,2022,248,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,housemaid,divorced,basic-4y,no,yes,yes,telephone,may,mon,2022,205,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,admin,married,university-degree,no,yes,no,telephone,may,mon,2022,261,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,married,basic-4y,no,yes,no,telephone,may,mon,2022,83,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,management,divorced,university-degree,no,yes,no,telephone,may,mon,2022,106,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,admin,single,university-degree,no,no,no,telephone,may,mon,2022,106,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,admin,married,high-school,no,no,no,telephone,may,mon,2022,108,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,admin,divorced,high-school,no,no,no,telephone,may,mon,2022,364,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,retired,married,basic-6y,no,no,no,telephone,may,mon,2022,136,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic-9y,no,no,no,telephone,may,mon,2022,173,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,services,married,high-school,no,yes,no,telephone,may,mon,2022,241,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,management,single,basic-9y,no,yes,no,telephone,may,mon,2022,224,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,admin,single,basic-6y,no,yes,yes,telephone,may,mon,2022,148,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,technician,married,professional-course,no,yes,yes,telephone,may,mon,2022,196,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,housemaid,single,professional-course,no,no,no,telephone,may,mon,2022,111,4,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
26,admin,single,university-degree,no,yes,no,telephone,may,mon,2022,231,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,admin,married,high-school,no,no,no,telephone,may,mon,2022,316,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,admin,married,high-school,no,no,no,telephone,may,mon,2022,669,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,services,single,high-school,no,yes,no,telephone,may,mon,2022,425,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,basic-9y,no,yes,no,telephone,may,mon,2022,121,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,management,married,high-school,no,yes,no,telephone,may,mon,2022,174,5,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,self-employed,single,university-degree,no,no,yes,telephone,may,mon,2022,88,5,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,entrepreneur,married,high-school,no,yes,no,telephone,may,mon,2022,135,4,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,single,high-school,no,yes,yes,telephone,may,mon,2022,402,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,services,single,high-school,no,yes,no,telephone,may,mon,2022,158,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,admin,married,basic-9y,no,no,no,telephone,may,mon,2022,220,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
58,blue-collar,divorced,basic-4y,no,yes,no,telephone,may,mon,2022,254,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,technician,married,high-school,no,yes,no,telephone,may,mon,2022,503,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,services,divorced,professional-course,no,no,no,telephone,may,mon,2022,680,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,entrepreneur,married,university-degree,no,yes,no,telephone,may,mon,2022,130,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,blue-collar,married,basic-4y,no,no,no,telephone,may,mon,2022,164,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,technician,married,professional-course,no,no,no,telephone,may,mon,2022,113,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,management,married,university-degree,no,no,no,telephone,may,mon,2022,195,2,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,services,married,high-school,no,yes,no,telephone,may,mon,2022,347,3,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
